Time,q_L_arm_0,q_L_arm_1,q_L_arm_2,q_L_arm_3,q_L_arm_4,q_L_arm_5,q_L_arm_6,q_L_arm_des_0,q_L_arm_des_1,q_L_arm_des_2,q_L_arm_des_3,q_L_arm_des_4,q_L_arm_des_5,q_L_arm_des_6,q_L_hand_0,q_L_hand_1,q_L_hand_2,q_L_hand_3,q_L_hand_4,q_L_hand_5,q_L_hand_6,q_L_hand_7,q_L_hand_8,q_L_hand_9,q_L_hand_10,q_L_hand_des_0,q_L_hand_des_1,q_L_hand_des_2,q_L_hand_des_3,q_L_hand_des_4,q_L_hand_des_5,q_L_hand_des_6,q_L_hand_des_7,q_L_hand_des_8,q_L_hand_des_9,q_L_hand_des_10,q_R_arm_0,q_R_arm_1,q_R_arm_2,q_R_arm_3,q_R_arm_4,q_R_arm_5,q_R_arm_6,q_R_arm_des_0,q_R_arm_des_1,q_R_arm_des_2,q_R_arm_des_3,q_R_arm_des_4,q_R_arm_des_5,q_R_arm_des_6,q_R_hand_0,q_R_hand_1,q_R_hand_2,q_R_hand_3,q_R_hand_4,q_R_hand_5,q_R_hand_6,q_R_hand_7,q_R_hand_8,q_R_hand_9,q_R_hand_10,q_R_hand_des_0,q_R_hand_des_1,q_R_hand_des_2,q_R_hand_des_3,q_R_hand_des_4,q_R_hand_des_5,q_R_hand_des_6,q_R_hand_des_7,q_R_hand_des_8,q_R_hand_des_9,q_R_hand_des_10
0,0,0,0,-1.57,0,0,0,0,0,0,-1.57,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57,0,0,0,0,0,0,-1.57,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,-1.57,0,0,0,0,0,0,-1.57,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23069e-06,4.60467e-06,-7.69959e-07,-1.56999,-3.38477e-08,1.43953e-08,8.96491e-07,0,0,0,-1.57,0,0,-0,-1.3471e-08,-2.63031e-08,1.35029e-09,-1.14464e-09,-3.37013e-10,-1.04265e-09,-4.19889e-10,-5.88896e-10,-2.47332e-10,-2.7583e-10,-1.64694e-10,0,0,0,0,0,0,0,0,0,0,0
0.002,-5.65235e-22,4.08101e-21,-1.52493e-21,-1.57,-4.34326e-21,-9.88064e-23,-1.48922e-21,0,0,0,-1.57,0,0,-0,1.52765e-23,-2.5431e-22,-6.80819e-23,-1.30763e-25,-5.30249e-25,-6.20577e-25,-8.19155e-26,-3.22002e-24,-6.69271e-25,-1.00377e-23,-1.49383e-25,0,0,0,0,0,0,0,0,0,0,0,1.86464e-05,1.35962e-05,-2.1788e-06,-1.56996,-9.65583e-08,4.10017e-08,2.70457e-06,0,0,0,-1.57,0,0,-0,-3.96397e-08,-7.53512e-08,4.08088e-09,-3.37589e-09,-9.9766e-10,-3.07894e-09,-1.24385e-09,-1.74453e-09,-7.34416e-10,-8.25663e-10,-4.90625e-10,0,0,0,0,0,0,0,0,0,0,0
0.003,4.43357e-22,8.05531e-21,-3.20023e-21,-1.57,-8.21797e-21,-2.35788e-22,1.21972e-21,0,0,0,-1.57,0,0,-0,2.14719e-23,-2.33696e-22,-6.56342e-23,-2.97529e-24,-8.6181e-26,-1.84489e-24,-3.47304e-25,-4.74339e-24,-9.04557e-25,-1.17413e-23,-3.93493e-25,0,0,0,0,0,0,0,0,0,0,0,3.71888e-05,2.67657e-05,-4.10957e-06,-1.56992,-1.83658e-07,7.81937e-08,5.43172e-06,0,0,0,-1.57,0,0,-0,-7.78085e-08,-1.43885e-07,8.2124e-09,-6.64048e-09,-1.96906e-09,-6.06455e-09,-2.45673e-09,-3.44794e-09,-1.4539e-09,-1.64967e-09,-9.7432e-10,0,0,0,0,0,0,0,0,0,0,0
0.004,8.60515e-22,1.21755e-20,-4.78665e-21,-1.57,-7.32225e-21,-3.73139e-22,1.52179e-21,0,0,0,-1.57,0,0,-0,5.83927e-24,5.57981e-23,-6.32193e-23,-8.19463e-24,-7.60058e-25,-3.02596e-24,-5.88564e-25,-5.97938e-24,-5.45044e-25,-1.29343e-23,5.11819e-25,0,0,0,0,0,0,0,0,0,0,0,6.17884e-05,4.39124e-05,-6.45814e-06,-1.56987,-2.91142e-07,1.24799e-07,9.07891e-06,0,0,0,-1.57,0,0,-0,-1.27348e-07,-2.28926e-07,1.37566e-08,-1.08896e-08,-3.23877e-09,-9.95947e-09,-4.04393e-09,-5.68305e-09,-2.39862e-09,-2.7498e-09,-1.61229e-09,0,0,0,0,0,0,0,0,0,0,0
0.005,3.90988e-22,1.17932e-20,-4.24552e-21,-1.57,-6.54161e-21,-3.41057e-22,2.15052e-21,0,0,0,-1.57,0,0,-0,2.72978e-22,6.96069e-23,-2.67104e-22,-1.04074e-23,-1.84141e-24,-3.1139e-24,-6.13949e-25,-5.94411e-24,-2.14694e-24,-1.69804e-23,4.79347e-25,0,0,0,0,0,0,0,0,0,0,0,9.23655e-05,6.48439e-05,-9.13208e-06,-1.5698,-4.15428e-07,1.80006e-07,1.36415e-05,0,0,0,-1.57,0,0,-0,-1.87689e-07,-3.2776e-07,2.07173e-08,-1.60783e-08,-4.79478e-09,-1.47274e-08,-5.99139e-09,-8.43622e-09,-3.5616e-09,-4.12939e-09,-2.40101e-09,0,0,0,0,0,0,0,0,0,0,0
0.006,8.07787e-22,1.58798e-20,-5.68526e-21,-1.57,-1.0153e-20,-4.61622e-22,2.44594e-21,0,0,0,-1.57,0,0,-0,2.71987e-22,6.29014e-22,-2.60402e-22,-1.52658e-23,-1.91475e-24,-4.35417e-24,-8.61557e-25,-7.45217e-24,-2.33567e-24,-2.28706e-23,-8.55177e-25,0,0,0,0,0,0,0,0,0,0,0,0.000128832,8.93751e-05,-1.20496e-05,-1.56973,-5.53323e-07,2.43292e-07,1.91103e-05,0,0,0,-1.57,0,0,-0,-2.58315e-07,-4.37914e-07,2.90909e-08,-2.2165e-08,-6.62545e-09,-2.03355e-08,-8.28554e-09,-1.16959e-08,-4.93601e-09,-5.79287e-09,-3.33692e-09,0,0,0,0,0,0,0,0,0,0,0
0.007,1.65886e-21,2.41163e-20,-8.77169e-21,-1.57,-1.77041e-20,-7.11747e-22,3.03858e-21,0,0,0,-1.57,0,0,-0,2.79549e-22,9.12301e-22,-2.53269e-22,-2.05746e-23,-2.60003e-24,-6.64915e-24,-1.30329e-24,-1.03885e-23,-2.73811e-24,-3.04383e-23,-1.29454e-24,0,0,0,0,0,0,0,0,0,0,0,0.00017109,0.000117328,-1.51385e-05,-1.56965,-7.01991e-07,3.14354e-07,2.54717e-05,0,0,0,-1.57,0,0,-0,-3.38758e-07,-5.5714e-07,3.88672e-08,-2.91114e-08,-8.71946e-09,-2.67534e-08,-1.09132e-08,-1.54522e-08,-6.51513e-09,-7.7455e-09,-4.41645e-09,0,0,0,0,0,0,0,0,0,0,0
0.008,1.43612e-21,2.82751e-20,-9.78948e-21,-1.57,-2.44231e-20,-8.10071e-22,3.05666e-21,0,0,0,-1.57,0,0,-0,2.90943e-22,1.16763e-21,-3.15673e-22,-2.0886e-23,-2.63233e-24,-8.01188e-24,-1.54544e-24,-1.21201e-23,-3.48311e-24,-3.65131e-23,-1.55794e-24,0,0,0,0,0,0,0,0,0,0,0,0.000219037,0.000148533,-1.83353e-05,-1.56956,-8.58911e-07,3.93054e-07,3.27093e-05,0,0,0,-1.57,0,0,-0,-4.28589e-07,-6.83402e-07,5.00303e-08,-3.68815e-08,-1.10658e-08,-3.39534e-08,-1.38616e-08,-1.96966e-08,-8.29238e-09,-9.99307e-09,-5.63596e-09,0,0,0,0,0,0,0,0,0,0,0
0.009,-7.70755e-22,2.78733e-20,-8.61837e-21,-1.57,-2.1745e-20,-7.32082e-22,5.90436e-21,0,0,0,-1.57,0,0,-0,2.71179e-22,8.67805e-22,-3.77098e-22,-2.06726e-23,-2.55523e-24,-7.84168e-24,-1.46819e-24,-1.38853e-23,-2.80287e-24,-4.4081e-23,-1.48635e-24,0,0,0,0,0,0,0,0,0,0,0,0.000272563,0.000182825,-2.15846e-05,-1.56946,-1.02186e-06,4.79376e-07,4.08035e-05,0,0,0,-1.57,0,0,-0,-5.27415e-07,-8.14854e-07,6.25586e-08,-4.54419e-08,-1.36539e-08,-4.191e-08,-1.71183e-08,-2.44218e-08,-1.02612e-08,-1.25417e-08,-6.99177e-09,0,0,0,0,0,0,0,0,0,0,0
